name,age,country,year,Date_Given,sports,gold_medal,silver_medal,brone_medal,total_medal
Michael Phelps,23.0,United States,2008,8/24/2008,Swimming,8,0,0,8
Michael Phelps,19.0,United States,2004,8/29/2004,Swimming,6,0,2,8
Michael Phelps,27.0,United States,2012,08-12-2012,Swimming,4,2,0,6
Natalie Coughlin,25.0,United States,2008,8/24/2008,Swimming,1,2,3,6
Aleksey Nemov,24.0,Russia,2000,10-01-2000,Gymnastics,2,1,3,6
Alicia Coutts,24.0,Australia,2012,08-12-2012,Swimming,1,3,1,5
Missy Franklin,17.0,United States,2012,08-12-2012,Swimming,4,0,1,5
Ryan Lochte,27.0,United States,2012,08-12-2012,Swimming,2,2,1,5
Allison Schmitt,22.0,United States,2012,08-12-2012,Swimming,3,1,1,5
Natalie Coughlin,21.0,United States,2004,8/29/2004,Swimming,2,2,1,5
Ian Thorpe,17.0,Australia,2000,10-01-2000,Swimming,3,2,0,5
Dara Torres,33.0,United States,2000,10-01-2000,Swimming,2,0,3,5
Cindy Klassen,26.0,Canada,2006,2/26/2006,Speed Skating,1,2,2,5
Nastia Liukin,18.0,United States,2008,8/24/2008,Gymnastics,1,3,1,5
Marit Bjrgen,29.0,Norway,2010,2/28/2010,Cross Country Skiing,3,1,1,5
Sun Yang,20.0,China,2012,08-12-2012,Swimming,2,1,1,4
Kirsty Coventry,24.0,Zimbabwe,2008,8/24/2008,Swimming,1,3,0,4
Libby LentonTrickett,23.0,Australia,2008,8/24/2008,Swimming,2,1,1,4
Ryan Lochte,24.0,United States,2008,8/24/2008,Swimming,2,0,2,4
Inge de Bruijn,30.0,Netherlands,2004,8/29/2004,Swimming,1,1,2,4
Petria Thomas,28.0,Australia,2004,8/29/2004,Swimming,3,1,0,4
Ian Thorpe,21.0,Australia,2004,8/29/2004,Swimming,2,1,1,4
Inge de Bruijn,27.0,Netherlands,2000,10-01-2000,Swimming,3,1,0,4
Gary Hall Jr,25.0,United States,2000,10-01-2000,Swimming,2,1,1,4
Michael Klim,23.0,Australia,2000,10-01-2000,Swimming,2,2,0,4
Susie ONeill,27.0,Australia,2000,10-01-2000,Swimming,1,3,0,4
Jenny Thompson,27.0,United States,2000,10-01-2000,Swimming,3,0,1,4
Pieter van den Hoogenband,22.0,Netherlands,2000,10-01-2000,Swimming,2,0,2,4
An HyeonSu,20.0,South Korea,2006,2/26/2006,Short-Track Speed Skating,3,0,1,4
Aliya Mustafina,17.0,Russia,2012,08-12-2012,Gymnastics,1,1,2,4
Shawn Johnson,16.0,United States,2008,8/24/2008,Gymnastics,1,3,0,4
Dmitry Sautin,26.0,Russia,2000,10-01-2000,Diving,1,1,2,4
Leontien Zijlaardvan Moorsel,30.0,Netherlands,2000,10-01-2000,Cycling,3,1,0,4
Petter Northug Jr,24.0,Norway,2010,2/28/2010,Cross Country Skiing,2,1,1,4
Ole Einar Bjrndalen,28.0,Norway,2002,2/24/2002,Biathlon,4,0,0,4
Janica Kostelic,20.0,Croatia,2002,2/24/2002,Alpine Skiing,3,1,0,4
Nathan Adrian,23.0,United States,2012,08-12-2012,Swimming,2,1,0,3
Yannick Agnel,20.0,France,2012,08-12-2012,Swimming,2,1,0,3
Brittany Elmslie,18.0,Australia,2012,08-12-2012,Swimming,1,2,0,3
Matt Grevers,27.0,United States,2012,08-12-2012,Swimming,2,1,0,3
Ryosuke Irie,22.0,Japan,2012,08-12-2012,Swimming,0,2,1,3
Cullen Jones,28.0,United States,2012,08-12-2012,Swimming,1,2,0,3
Ranomi Kromowidjojo,21.0,Netherlands,2012,08-12-2012,Swimming,2,1,0,3
Camille Muffat,22.0,France,2012,08-12-2012,Swimming,1,1,1,3
Mel Schlanger,25.0,Australia,2012,08-12-2012,Swimming,1,2,0,3
Emily Seebohm,20.0,Australia,2012,08-12-2012,Swimming,1,2,0,3
Rebecca Soni,25.0,United States,2012,08-12-2012,Swimming,2,1,0,3
Satomi Suzuki,21.0,Japan,2012,08-12-2012,Swimming,0,1,2,3
Dana Vollmer,24.0,United States,2012,08-12-2012,Swimming,3,0,0,3
Alain Bernard,25.0,France,2008,8/24/2008,Swimming,1,1,1,3
Lszl Cseh Jr,22.0,Hungary,2008,8/24/2008,Swimming,0,3,0,3
Matt Grevers,23.0,United States,2008,8/24/2008,Swimming,2,1,0,3
Margaret Hoelzer,25.0,United States,2008,8/24/2008,Swimming,0,2,1,3
Katie Hoff,19.0,United States,2008,8/24/2008,Swimming,0,1,2,3
Leisel Jones,22.0,Australia,2008,8/24/2008,Swimming,2,1,0,3
Kosuke Kitajima,25.0,Japan,2008,8/24/2008,Swimming,2,0,1,3
Andrew Lauterstein,21.0,Australia,2008,8/24/2008,Swimming,0,1,2,3
Jason Lezak,32.0,United States,2008,8/24/2008,Swimming,2,0,1,3
Pang Jiaying,23.0,China,2008,8/24/2008,Swimming,0,1,2,3
Aaron Peirsol,25.0,United States,2008,8/24/2008,Swimming,2,1,0,3
Steph Rice,20.0,Australia,2008,8/24/2008,Swimming,3,0,0,3
Jess Schipper,21.0,Australia,2008,8/24/2008,Swimming,1,0,2,3
Rebecca Soni,21.0,United States,2008,8/24/2008,Swimming,1,2,0,3
Eamon Sullivan,22.0,Australia,2008,8/24/2008,Swimming,0,2,1,3
Dara Torres,41.0,United States,2008,8/24/2008,Swimming,0,3,0,3
Amanda Beard,22.0,United States,2004,8/29/2004,Swimming,1,2,0,3
Antje Buschschulte,25.0,Germany,2004,8/29/2004,Swimming,0,0,3,3
Kirsty Coventry,20.0,Zimbabwe,2004,8/29/2004,Swimming,1,1,1,3
Ian Crocker,21.0,United States,2004,8/29/2004,Swimming,1,1,1,3
Grant Hackett,24.0,Australia,2004,8/29/2004,Swimming,1,2,0,3
Brendan Hansen,22.0,United States,2004,8/29/2004,Swimming,1,1,1,3
Jodie Henry,20.0,Australia,2004,8/29/2004,Swimming,3,0,0,3
Otylia Jedrzejczak,20.0,Poland,2004,8/29/2004,Swimming,1,2,0,3
Leisel Jones,18.0,Australia,2004,8/29/2004,Swimming,1,1,1,3
Kosuke Kitajima,21.0,Japan,2004,8/29/2004,Swimming,2,0,1,3
Laure Manaudou,17.0,France,2004,8/29/2004,Swimming,1,1,1,3
Aaron Peirsol,21.0,United States,2004,8/29/2004,Swimming,3,0,0,3
Kaitlin Sandeno,21.0,United States,2004,8/29/2004,Swimming,1,1,1,3
Roland Schoeman,24.0,South Africa,2004,8/29/2004,Swimming,1,1,1,3
Pieter van den Hoogenband,26.0,Netherlands,2004,8/29/2004,Swimming,1,2,0,3
Therese Alshammar,23.0,Sweden,2000,10-01-2000,Swimming,0,2,1,3
Yana Klochkova,18.0,Ukraine,2000,10-01-2000,Swimming,2,1,0,3
Lenny Krayzelburg,24.0,United States,2000,10-01-2000,Swimming,3,0,0,3
Massimiliano Rosolino,22.0,Italy,2000,10-01-2000,Swimming,1,1,1,3
Petria Thomas,25.0,Australia,2000,10-01-2000,Swimming,0,2,1,3
Matt Welsh,23.0,Australia,2000,10-01-2000,Swimming,0,2,1,3
Lee JeongSu,20.0,South Korea,2010,2/28/2010,Short-Track Speed Skating,2,1,0,3
Apolo Anton Ohno,27.0,United States,2010,2/28/2010,Short-Track Speed Skating,0,1,2,3
Wang Meng,24.0,China,2010,2/28/2010,Short-Track Speed Skating,3,0,0,3
Jin SeonYu,17.0,South Korea,2006,2/26/2006,Short-Track Speed Skating,3,0,0,3
Lee HoSeok,19.0,South Korea,2006,2/26/2006,Short-Track Speed Skating,1,2,0,3
Apolo Anton Ohno,23.0,United States,2006,2/26/2006,Short-Track Speed Skating,1,0,2,3
Wang Meng,20.0,China,2006,2/26/2006,Short-Track Speed Skating,1,1,1,3
Marc Gagnon,26.0,Canada,2002,2/24/2002,Short-Track Speed Skating,2,0,1,3
Yang Yang A,25.0,China,2002,2/24/2002,Short-Track Speed Skating,2,1,0,3
Stephanie Beckert,21.0,Germany,2010,2/28/2010,Speed Skating,1,2,0,3
Martina Sblkov,22.0,Czech Republic,2010,2/28/2010,Speed Skating,2,0,1,3
Enrico Fabris,24.0,Italy,2006,2/26/2006,Speed Skating,2,0,1,3
Chad Hedrick,28.0,United States,2006,2/26/2006,Speed Skating,1,1,1,3
Jochem Uytdehaage,25.0,Netherlands,2002,2/24/2002,Speed Skating,2,1,0,3
Sabine Vlker,28.0,Germany,2002,2/24/2002,Speed Skating,0,2,1,3
Gregor Schlierenzauer,20.0,Austria,2010,2/28/2010,Ski Jumping,1,0,2,3
Lars Bystl,27.0,Norway,2006,2/26/2006,Ski Jumping,1,0,2,3
Johnny Spillane,29.0,United States,2010,2/28/2010,Nordic Combined,0,3,0,3
Felix Gottwald,30.0,Austria,2006,2/26/2006,Nordic Combined,2,1,0,3
Georg Hettich,27.0,Germany,2006,2/26/2006,Nordic Combined,1,1,1,3
Felix Gottwald,26.0,Austria,2002,2/24/2002,Nordic Combined,0,0,3,3
Samppa Lajunen,22.0,Finland,2002,2/24/2002,Nordic Combined,3,0,0,3
Aly Raisman,18.0,United States,2012,08-12-2012,Gymnastics,2,0,1,3
Kohei Uchimura,23.0,Japan,2012,08-12-2012,Gymnastics,1,2,0,3
Zou Kai,24.0,China,2012,08-12-2012,Gymnastics,2,0,1,3
Cheng Fei,20.0,China,2008,8/24/2008,Gymnastics,1,0,2,3
Yang Wei,28.0,China,2008,8/24/2008,Gymnastics,2,1,0,3
Yang Yilin,15.0,China,2008,8/24/2008,Gymnastics,1,0,2,3
Zou Kai,20.0,China,2008,8/24/2008,Gymnastics,3,0,0,3
Marian Dragulescu,23.0,Romania,2004,8/29/2004,Gymnastics,0,1,2,3
Paul Hamm,21.0,United States,2004,8/29/2004,Gymnastics,1,2,0,3
Carly Patterson,16.0,United States,2004,8/29/2004,Gymnastics,1,2,0,3
Catalina Ponor,16.0,Romania,2004,8/29/2004,Gymnastics,3,0,0,3
Simona Amnar,20.0,Romania,2000,10-01-2000,Gymnastics,2,0,1,3
Svetlana Khorkina,21.0,Russia,2000,10-01-2000,Gymnastics,1,2,0,3
Yekaterina Lobaznyuk,17.0,Russia,2000,10-01-2000,Gymnastics,0,2,1,3
Yelena Zamolodchikova,17.0,Russia,2000,10-01-2000,Gymnastics,2,1,0,3
Guo Shuang,26.0,China,2012,08-12-2012,Cycling,0,2,1,3
Chris Hoy,32.0,Great Britain,2008,8/24/2008,Cycling,3,0,0,3
Bradley Wiggins,24.0,Great Britain,2004,8/29/2004,Cycling,1,1,1,3
Florian Rousseau,26.0,France,2000,10-01-2000,Cycling,2,1,0,3
Justyna Kowalczyk,27.0,Poland,2010,2/28/2010,Cross Country Skiing,1,1,1,3
Johan Olsson,29.0,Sweden,2010,2/28/2010,Cross Country Skiing,1,0,2,3
Stefania Belmondo,33.0,Italy,2002,2/24/2002,Cross Country Skiing,1,1,1,3
Yuliya Chepalova,25.0,Russia,2002,2/24/2002,Cross Country Skiing,1,1,1,3
Frode Estil,29.0,Norway,2002,2/24/2002,Cross Country Skiing,2,1,0,3
Bente SkariMartinsen,29.0,Norway,2002,2/24/2002,Cross Country Skiing,1,1,1,3
Magdalena Neuner,23.0,Germany,2010,2/28/2010,Biathlon,2,1,0,3
Emil Hegle Svendsen,24.0,Norway,2010,2/28/2010,Biathlon,2,1,0,3
Albina Akhatova,29.0,Russia,2006,2/26/2006,Biathlon,1,0,2,3
Ole Einar Bjrndalen,32.0,Norway,2006,2/26/2006,Biathlon,0,2,1,3
Sven Fischer,34.0,Germany,2006,2/26/2006,Biathlon,2,0,1,3
Martina GlagowBeck,26.0,Germany,2006,2/26/2006,Biathlon,0,3,0,3
Michael Greis,29.0,Germany,2006,2/26/2006,Biathlon,3,0,0,3
Kati Wilhelm,29.0,Germany,2006,2/26/2006,Biathlon,1,2,0,3
Kati Wilhelm,25.0,Germany,2002,2/24/2002,Biathlon,2,1,0,3
Yohan Blake,22.0,Jamaica,2012,08-12-2012,Athletics,1,2,0,3
Usain Bolt,25.0,Jamaica,2012,08-12-2012,Athletics,3,0,0,3
Allyson Felix,26.0,United States,2012,08-12-2012,Athletics,3,0,0,3
ShellyAnn FraserPryce,25.0,Jamaica,2012,08-12-2012,Athletics,1,2,0,3
Carmelita Jeter,32.0,United States,2012,08-12-2012,Athletics,1,1,1,3
Usain Bolt,21.0,Jamaica,2008,8/24/2008,Athletics,3,0,0,3
Veronica CampbellBrown,22.0,Jamaica,2004,8/29/2004,Athletics,2,0,1,3
Justin Gatlin,22.0,United States,2004,8/29/2004,Athletics,1,1,1,3
Bode Miller,32.0,United States,2010,2/28/2010,Alpine Skiing,1,1,1,3
Aksel Lund Svindal,27.0,Norway,2010,2/28/2010,Alpine Skiing,1,1,1,3
Anja Prson,24.0,Sweden,2006,2/26/2006,Alpine Skiing,1,0,2,3
Stephan Eberharter,32.0,Austria,2002,2/24/2002,Alpine Skiing,1,1,1,3
Ding Ning,22.0,China,2012,08-12-2012,Table Tennis,1,1,0,2
Feng Tian Wei,25.0,Singapore,2012,08-12-2012,Table Tennis,0,0,2,2
Li Xiaoxia,24.0,China,2012,08-12-2012,Table Tennis,2,0,0,2
Dmitrij Ovtcharov,23.0,Germany,2012,08-12-2012,Table Tennis,0,0,2,2
Wang Hao,28.0,China,2012,08-12-2012,Table Tennis,1,1,0,2
Zhang Jike,24.0,China,2012,08-12-2012,Table Tennis,2,0,0,2
Guo Yue,20.0,China,2008,8/24/2008,Table Tennis,1,0,1,2
Ma Lin,28.0,China,2008,8/24/2008,Table Tennis,2,0,0,2
Wang Hao,24.0,China,2008,8/24/2008,Table Tennis,1,1,0,2
Wang Liqin,30.0,China,2008,8/24/2008,Table Tennis,1,0,1,2
Wang Nan,29.0,China,2008,8/24/2008,Table Tennis,1,1,0,2
Zhang Yining,26.0,China,2008,8/24/2008,Table Tennis,2,0,0,2
Zhang Yining,22.0,China,2004,8/29/2004,Table Tennis,2,0,0,2
Kong Linghui,24.0,China,2000,10-01-2000,Table Tennis,1,1,0,2
Li Ju,24.0,China,2000,10-01-2000,Table Tennis,1,1,0,2
Liu Guoliang,24.0,China,2000,10-01-2000,Table Tennis,0,1,1,2
Wang Nan,21.0,China,2000,10-01-2000,Table Tennis,2,0,0,2
Viktoriya Azarenko,22.0,Belarus,2012,08-12-2012,Tennis,1,0,1,2
Mike Bryan,34.0,United States,2012,08-12-2012,Tennis,1,0,1,2
Andy Murray,25.0,Great Britain,2012,08-12-2012,Tennis,1,1,0,2
Serena Williams,30.0,United States,2012,08-12-2012,Tennis,2,0,0,2
Fernando Gonzlez,24.0,Chile,2004,8/29/2004,Tennis,1,0,1,2
Nicols Mass,26.0,Chile,2004,8/29/2004,Tennis,2,0,0,2
Venus Williams,20.0,United States,2000,10-01-2000,Tennis,2,0,0,2
Ona Carbonell,22.0,Spain,2012,08-12-2012,Synchronized Swimming,0,1,1,2
Andrea Fuentes,29.0,Spain,2012,08-12-2012,Synchronized Swimming,0,1,1,2
Huang Xuechen,22.0,China,2012,08-12-2012,Synchronized Swimming,0,1,1,2
Nataliya Ishchenko,26.0,Russia,2012,08-12-2012,Synchronized Swimming,2,0,0,2
Liu Ou,25.0,China,2012,08-12-2012,Synchronized Swimming,0,1,1,2
Svetlana Romashina,22.0,Russia,2012,08-12-2012,Synchronized Swimming,2,0,0,2
Anastasiya Davydova,25.0,Russia,2008,8/24/2008,Synchronized Swimming,2,0,0,2
Andrea Fuentes,25.0,Spain,2008,8/24/2008,Synchronized Swimming,0,2,0,2
Gemma Mengual,31.0,Spain,2008,8/24/2008,Synchronized Swimming,0,2,0,2
Anastasiya Yermakova,25.0,Russia,2008,8/24/2008,Synchronized Swimming,2,0,0,2
Alison Bartosik,21.0,United States,2004,8/29/2004,Synchronized Swimming,0,0,2,2
Anastasiya Davydova,21.0,Russia,2004,8/29/2004,Synchronized Swimming,2,0,0,2
Anna Kozlova,31.0,United States,2004,8/29/2004,Synchronized Swimming,0,0,2,2
Miya Tachibana,29.0,Japan,2004,8/29/2004,Synchronized Swimming,0,2,0,2
Miho Takeda,27.0,Japan,2004,8/29/2004,Synchronized Swimming,0,2,0,2
Anastasiya Yermakova,21.0,Russia,2004,8/29/2004,Synchronized Swimming,2,0,0,2
Olga Brusnikina,21.0,Russia,2000,10-01-2000,Synchronized Swimming,2,0,0,2
Mariya Kiselyova,25.0,Russia,2000,10-01-2000,Synchronized Swimming,2,0,0,2
Miya Tachibana,25.0,Japan,2000,10-01-2000,Synchronized Swimming,0,2,0,2
Miho Takeda,24.0,Japan,2000,10-01-2000,Synchronized Swimming,0,2,0,2
Becky Adlington,23.0,Great Britain,2012,08-12-2012,Swimming,0,0,2,2
Bronte Barratt,23.0,Australia,2012,08-12-2012,Swimming,0,1,1,2
Elizabeth Beisel,19.0,United States,2012,08-12-2012,Swimming,0,1,1,2
Mireia Belmonte,21.0,Spain,2012,08-12-2012,Swimming,0,2,0,2
Ricky Berens,24.0,United States,2012,08-12-2012,Swimming,1,1,0,2
Aleksandra Gerasimenya,26.0,Belarus,2012,08-12-2012,Swimming,0,2,0,2
Brendan Hansen,30.0,United States,2012,08-12-2012,Swimming,1,0,1,2
Jessica Hardy,25.0,United States,2012,08-12-2012,Swimming,1,0,1,2
Chad le Clos,20.0,South Africa,2012,08-12-2012,Swimming,1,1,0,2
Clment Lefert,24.0,France,2012,08-12-2012,Swimming,1,1,0,2
Amaury Leveaux,26.0,France,2012,08-12-2012,Swimming,1,1,0,2
James Magnussen,21.0,Australia,2012,08-12-2012,Swimming,0,1,1,2
Takeshi Matsuda,28.0,Japan,2012,08-12-2012,Swimming,0,1,1,2
Oussama Mellouli,28.0,Tunisia,2012,08-12-2012,Swimming,1,0,1,2
Park TaeHwan,22.0,South Korea,2012,08-12-2012,Swimming,0,2,0,2
Christian Sprenger,26.0,Australia,2012,08-12-2012,Swimming,0,1,1,2
Jeremy Stravius,24.0,France,2012,08-12-2012,Swimming,1,1,0,2
Aya Terakawa,27.0,Japan,2012,08-12-2012,Swimming,0,0,2,2
Nick Thoman,26.0,United States,2012,08-12-2012,Swimming,1,1,0,2
Marleen Veldhuis,33.0,Netherlands,2012,08-12-2012,Swimming,0,1,1,2
Ye Shiwen,16.0,China,2012,08-12-2012,Swimming,2,0,0,2
Becky Adlington,19.0,Great Britain,2008,8/24/2008,Swimming,2,0,0,2
Leith Brodie,22.0,Australia,2008,8/24/2008,Swimming,0,0,2,2
Cate Campbell,16.0,Australia,2008,8/24/2008,Swimming,0,0,2,2
Csar Cielo Filho,21.0,Brazil,2008,8/24/2008,Swimming,1,0,1,2
Hugues Duboscq,26.0,France,2008,8/24/2008,Swimming,0,0,2,2
Felicity Galvez,23.0,Australia,2008,8/24/2008,Swimming,2,0,0,2
Grant Hackett,28.0,Australia,2008,8/24/2008,Swimming,0,1,1,2
Kara Lynn Joyce,22.0,United States,2008,8/24/2008,Swimming,0,2,0,2
Amaury Leveaux,22.0,France,2008,8/24/2008,Swimming,0,2,0,2
Christine Magnuson,22.0,United States,2008,8/24/2008,Swimming,0,2,0,2
Patrick Murphy,24.0,Australia,2008,8/24/2008,Swimming,0,0,2,2
Park TaeHwan,18.0,South Korea,2008,8/24/2008,Swimming,1,1,0,2
Shayne Reese,25.0,Australia,2008,8/24/2008,Swimming,1,0,1,2
Brenton Rickard,24.0,Australia,2008,8/24/2008,Swimming,0,2,0,2
Mel Schlanger,21.0,Australia,2008,8/24/2008,Swimming,1,0,1,2
Julia Smit,20.0,United States,2008,8/24/2008,Swimming,0,1,1,2
Britta Steffen,24.0,Germany,2008,8/24/2008,Swimming,2,0,0,2
Hayden Stoeckel,24.0,Australia,2008,8/24/2008,Swimming,0,1,1,2
Matt Targett,22.0,Australia,2008,8/24/2008,Swimming,0,1,1,2
Peter Vanderkaay,24.0,United States,2008,8/24/2008,Swimming,1,0,1,2
Arkady Vyachanin,24.0,Russia,2008,8/24/2008,Swimming,0,0,2,2
Garrett WeberGale,23.0,United States,2008,8/24/2008,Swimming,2,0,0,2
Lindsay Benko,27.0,United States,2004,8/29/2004,Swimming,1,1,0,2
Gary Hall Jr,29.0,United States,2004,8/29/2004,Swimming,1,0,1,2
Brooke Hanson,26.0,Australia,2004,8/29/2004,Swimming,1,1,0,2
Kara Lynn Joyce,18.0,United States,2004,8/29/2004,Swimming,0,2,0,2
Klete Keller,22.0,United States,2004,8/29/2004,Swimming,1,0,1,2
Yana Klochkova,22.0,Ukraine,2004,8/29/2004,Swimming,2,0,0,2
Rachel Komisarz,27.0,United States,2004,8/29/2004,Swimming,1,1,0,2
Libby LentonTrickett,19.0,Australia,2004,8/29/2004,Swimming,1,0,1,2
Jason Lezak,28.0,United States,2004,8/29/2004,Swimming,1,0,1,2
Ryan Lochte,20.0,United States,2004,8/29/2004,Swimming,1,1,0,2
Alice Mills,18.0,Australia,2004,8/29/2004,Swimming,2,0,0,2
Tomomi Morita,19.0,Japan,2004,8/29/2004,Swimming,0,0,2,2
Markus Rogan,22.0,Austria,2004,8/29/2004,Swimming,0,2,0,2
Jenny Thompson,31.0,United States,2004,8/29/2004,Swimming,0,2,0,2
Franziska van Almsick,26.0,Germany,2004,8/29/2004,Swimming,0,0,2,2
Neil Walker,28.0,United States,2004,8/29/2004,Swimming,1,0,1,2
Amanda Weir,18.0,United States,2004,8/29/2004,Swimming,0,2,0,2
Takashi Yamamoto,26.0,Japan,2004,8/29/2004,Swimming,0,1,1,2
Brooke Bennett,20.0,United States,2000,10-01-2000,Swimming,2,0,0,2
Beatrice CoadaCaslaru,25.0,Romania,2000,10-01-2000,Swimming,0,1,1,2
Josh Davis,28.0,United States,2000,10-01-2000,Swimming,0,2,0,2
Tom Dolan,25.0,United States,2000,10-01-2000,Swimming,1,1,0,2
Anthony Ervin,19.0,United States,2000,10-01-2000,Swimming,1,1,0,2
Domenico Fioravanti,23.0,Italy,2000,10-01-2000,Swimming,2,0,0,2
Grant Hackett,20.0,Australia,2000,10-01-2000,Swimming,2,0,0,2
Geoff Huegill,21.0,Australia,2000,10-01-2000,Swimming,0,1,1,2
Leisel Jones,15.0,Australia,2000,10-01-2000,Swimming,0,2,0,2
Klete Keller,18.0,United States,2000,10-01-2000,Swimming,0,1,1,2
Jason Lezak,24.0,United States,2000,10-01-2000,Swimming,1,1,0,2
Diana Mocanu,16.0,Romania,2000,10-01-2000,Swimming,2,0,0,2
Martina Moravcov,24.0,Slovakia,2000,10-01-2000,Swimming,0,2,0,2
Ed Moses,20.0,United States,2000,10-01-2000,Swimming,1,1,0,2
Diana Munz,18.0,United States,2000,10-01-2000,Swimming,1,1,0,2
Mai Nakamura,21.0,Japan,2000,10-01-2000,Swimming,0,1,1,2
Todd Pearson,22.0,Australia,2000,10-01-2000,Swimming,2,0,0,2
Adam Pine,24.0,Australia,2000,10-01-2000,Swimming,1,1,0,2
Claudia Poll,27.0,Costa Rica,2000,10-01-2000,Swimming,0,0,2,2
Megan QuannJendrick,16.0,United States,2000,10-01-2000,Swimming,2,0,0,2
Giaan Rooney,17.0,Australia,2000,10-01-2000,Swimming,0,2,0,2
Courtney Shealy,22.0,United States,2000,10-01-2000,Swimming,2,0,0,2
Ashley Tappin,25.0,United States,2000,10-01-2000,Swimming,2,0,0,2
Stev Theloke,22.0,Germany,2000,10-01-2000,Swimming,0,0,2,2
Amy Van Dyken,27.0,United States,2000,10-01-2000,Swimming,2,0,0,2
Neil Walker,24.0,United States,2000,10-01-2000,Swimming,1,1,0,2
J R Celski,19.0,United States,2010,2/28/2010,Short-Track Speed Skating,0,0,2,2
Charles Hamelin,25.0,Canada,2010,2/28/2010,Short-Track Speed Skating,2,0,0,2
Lee HoSeok,23.0,South Korea,2010,2/28/2010,Short-Track Speed Skating,0,2,0,2
Park SeungHui,17.0,South Korea,2010,2/28/2010,Short-Track Speed Skating,0,0,2,2
Katherine Reutter,21.0,United States,2010,2/28/2010,Short-Track Speed Skating,0,1,1,2
Seong SiBaek,22.0,South Korea,2010,2/28/2010,Short-Track Speed Skating,0,2,0,2
Marianne StGelais,19.0,Canada,2010,2/28/2010,Short-Track Speed Skating,0,2,0,2
FranoisLouis Tremblay,29.0,Canada,2010,2/28/2010,Short-Track Speed Skating,1,0,1,2
Zhou Yang,18.0,China,2010,2/28/2010,Short-Track Speed Skating,2,0,0,2
Choi EunGyeong,21.0,South Korea,2006,2/26/2006,Short-Track Speed Skating,1,1,0,2
Anouk LeblancBoucher,21.0,Canada,2006,2/26/2006,Short-Track Speed Skating,0,1,1,2
FranoisLouis Tremblay,25.0,Canada,2006,2/26/2006,Short-Track Speed Skating,0,2,0,2
Choi EunGyeong,17.0,South Korea,2002,2/24/2002,Short-Track Speed Skating,1,1,0,2
Go GiHyeon,15.0,South Korea,2002,2/24/2002,Short-Track Speed Skating,1,1,0,2
Jonathan Guilmette,23.0,Canada,2002,2/24/2002,Short-Track Speed Skating,1,1,0,2
Li Jiajun,26.0,China,2002,2/24/2002,Short-Track Speed Skating,0,1,1,2
Apolo Anton Ohno,19.0,United States,2002,2/24/2002,Short-Track Speed Skating,1,1,0,2
Evgeniya Radanova,24.0,Bulgaria,2002,2/24/2002,Short-Track Speed Skating,0,1,1,2
Mathieu Turcotte,25.0,Canada,2002,2/24/2002,Short-Track Speed Skating,1,0,1,2
Wang Chunlu,23.0,China,2002,2/24/2002,Short-Track Speed Skating,0,1,1,2
Yang Yang S,24.0,China,2002,2/24/2002,Short-Track Speed Skating,0,1,1,2
Shani Davis,27.0,United States,2010,2/28/2010,Speed Skating,1,1,0,2
Kristina Groves,33.0,Canada,2010,2/28/2010,Speed Skating,0,1,1,2
Chad Hedrick,32.0,United States,2010,2/28/2010,Speed Skating,0,1,1,2
Sven Kramer,23.0,Netherlands,2010,2/28/2010,Speed Skating,1,0,1,2
Lee SeungHun,21.0,South Korea,2010,2/28/2010,Speed Skating,1,1,0,2
Mo TaeBeom,21.0,South Korea,2010,2/28/2010,Speed Skating,1,1,0,2
Ivan Skobrev,27.0,Russia,2010,2/28/2010,Speed Skating,0,1,1,2
Mark Tuitert,29.0,Netherlands,2010,2/28/2010,Speed Skating,1,0,1,2
Joey Cheek,26.0,United States,2006,2/26/2006,Speed Skating,1,1,0,2
Shani Davis,23.0,United States,2006,2/26/2006,Speed Skating,1,1,0,2
Anni FriesingerPostma,29.0,Germany,2006,2/26/2006,Speed Skating,1,0,1,2
Kristina Groves,29.0,Canada,2006,2/26/2006,Speed Skating,0,2,0,2
Clara Hughes,33.0,Canada,2006,2/26/2006,Speed Skating,1,1,0,2
Sven Kramer,19.0,Netherlands,2006,2/26/2006,Speed Skating,0,1,1,2
Claudia Pechstein,33.0,Germany,2006,2/26/2006,Speed Skating,1,1,0,2
Carl Verheijen,30.0,Netherlands,2006,2/26/2006,Speed Skating,0,0,2,2
Erben Wennemars,30.0,Netherlands,2006,2/26/2006,Speed Skating,0,0,2,2
Ireen Wst,19.0,Netherlands,2006,2/26/2006,Speed Skating,1,0,1,2
Derek Parra,31.0,United States,2002,2/24/2002,Speed Skating,1,1,0,2
Claudia Pechstein,29.0,Germany,2002,2/24/2002,Speed Skating,2,0,0,2
Jennifer Rodriguez,25.0,United States,2002,2/24/2002,Speed Skating,0,0,2,2
Simon Ammann,28.0,Switzerland,2010,2/28/2010,Ski Jumping,2,0,0,2
Adam Malysz,32.0,Poland,2010,2/28/2010,Ski Jumping,0,2,0,2
Matti Hautamki,24.0,Finland,2006,2/26/2006,Ski Jumping,0,2,0,2
Andreas Kofler,21.0,Austria,2006,2/26/2006,Ski Jumping,1,1,0,2
Roar Ljkelsy,29.0,Norway,2006,2/26/2006,Ski Jumping,0,0,2,2
Thomas Morgenstern,19.0,Austria,2006,2/26/2006,Ski Jumping,2,0,0,2
Simon Ammann,20.0,Switzerland,2002,2/24/2002,Ski Jumping,2,0,0,2
